Date,gross_ret,net_ret,turnover,pos,gross_eq,net_eq
2010-12-10,0.0005003081211147157,0.0005003081211147157,0.0,1.0,2.3166270614189926,2.000956132348145
2010-12-13,0.006441458659881725,0.006441458659881725,0.0,1.0,2.3315495188654864,2.013845208554902
2010-12-14,-0.0006548024748789887,-0.0006548024748789887,0.0,1.0,2.3300228144702304,2.0125265377283172
2010-12-15,-0.007327004699300467,-0.007327004699300467,0.0,1.0,2.3129507263591296,1.997780746328915
2010-12-16,0.001602759941462889,0.001602759941462889,0.0,1.0,2.3166578311299157,2.000982709280957
2010-12-17,0.0018164330431109008,0.0018164330431109008,0.0,1.0,2.320865884963962,2.0046173603927886
2010-12-20,0.005701523329531101,0.005701523329531101,0.0,1.0,2.3340983559517965,2.016046733039851
2010-12-21,0.009076088992308403,0.009076088992308403,0.0,1.0,2.355282840347216,2.0343445526015733
2010-12-22,-0.00020487346536590678,-0.00020487346536590678,0.0,1.0,2.3548003053897975,2.0339277693833338
2010-12-23,-0.001143459715962053,-0.001143459715962053,0.0,1.0,2.352107686101449,2.031602054913867
2010-12-27,0.0004573444896202318,0.0004573444896202318,0.0,1.0,2.3531834095906814,2.032531196918783
2010-12-28,-0.0003102781051140628,-0.0003102781051140628,0.0,1.0,2.352453268301368,2.031900546990418
2010-12-29,0.004786909931127107,0.004786909931127107,0.0,1.0,2.363714250213912,2.041627071897869
2010-12-30,-0.002580525537060405,-0.002580525537060405,0.0,1.0,2.3576146252289214,2.0363586011016825
2010-12-31,0.0042450676138223445,0.0042450676138223445,0.0,1.0,2.3676228587203547,2.045003081049348
2011-01-03,0.005045792139581765,0.005045792139581765,0.0,1.0,2.3795693915303797,2.0553217415211273
2011-01-04,-0.005303073591735993,-0.005303073591735993,0.0,1.0,2.3669503599304518,2.0444222190711456
2011-01-05,0.00011610116052669211,0.00011610116052669211,0.0,1.0,2.3672251656141485,2.0446595788633863
2011-01-06,-0.004073686461150926,-0.004073686461150926,0.0,1.0,2.3575818325064906,2.036330276819308
2011-01-07,-0.0003898674499637951,-0.0003898674499637951,0.0,1.0,2.3566626880893704,2.0355363779270004
2011-01-10,0.0,-0.0005,0.5,0.0,2.3566626880893704,2.0345186097380368
2011-01-11,0.005742417780622751,0.005242417780622751,0.5,1.0,2.3701956298123847,2.0451844062727353
2011-01-12,0.007115080403511442,0.007115080403511442,0.0,1.0,2.3870597622905514,2.0597360577633737
2011-01-13,0.003800916093224795,0.003800916093224795,0.0,1.0,2.396132776156531,2.067564941693122
2011-01-14,-0.0027940394737496215,-0.0027940394737496215,0.0,1.0,2.3894378865956045,2.0617880836314906
2011-01-18,0.004104086710514857,0.004104086710514857,0.0,1.0,2.3992443468715825,2.0702498407054204
2011-01-19,-0.004074407892188695,-0.004074407892188695,0.0,1.0,2.3894688467694,2.061814798415648
